Pos.,Pts,Piloto,Equipo,Time / Gap
3,16,23E. Bastianini,Sky VR46 Avintia,12.013
1,25,93M. Marquez,Repsol Honda Team,41:41.4350
2,20,20F. Quartararo,Monster Energy Yamaha MotoGP™,4.679
3,16,63F. Bagnaia,Ducati Lenovo Team,8.547
1,25,63F. Bagnaia,Ducati Lenovo Team,41:48.3050
2,20,20F. Quartararo,Monster Energy Yamaha MotoGP™,+0.364
3,16,23E. Bastianini,Sky VR46 Avintia,4.789
1,25,63F. Bagnaia,Ducati Lenovo Team,41:44.4220
2,20,93M. Marquez,Repsol Honda Team,+0.673
3,16,36J. Mir,Team SUZUKI ECSTAR,3.911
1,25,20F. Quartararo,Monster Energy Yamaha MotoGP™,40:20.5790
2,20,42A. Rins,Team SUZUKI ECSTAR,2.663
3,16,41A. Espargaro,Aprilia Racing Team Gresini,4.105
1,25,33B. Binder,Red Bull KTM Factory Racing,40:43.9280
2,20,63F. Bagnaia,Ducati Lenovo Team,12.991
3,16,89J. Martin,Prima Pramac Racing,14.570
1,25,89J. Martin,Prima Pramac Racing,38:07.8790
2,20,36J. Mir,Team SUZUKI ECSTAR,1.548
3,16,20F. Quartararo,Monster Energy Yamaha MotoGP™,9.632
1,25,20F. Quartararo,Monster Energy Yamaha MotoGP™,40:35.0310
2,20,12M. Viñales,Aprilia Racing Team Gresini,2.757
3,16,36J. Mir,Team SUZUKI ECSTAR,5.760
1,25,93M. Marquez,Repsol Honda Team,41:07.2430
2,20,88M. Oliveira,Red Bull KTM Factory Racing,1.610
3,16,20F. Quartararo,Monster Energy Yamaha MotoGP™,6.772
1,25,88M. Oliveira,Red Bull KTM Factory Racing,40:21.7490
2,20,5J. Zarco,Prima Pramac Racing,+0.175
3,16,43J. Miller,Ducati Lenovo Team,1.990
1,25,20F. Quartararo,Monster Energy Yamaha MotoGP™,41:16.3440
2,20,88M. Oliveira,Red Bull KTM Factory Racing,2.592
3,16,36J. Mir,Team SUZUKI ECSTAR,3.000
1,25,43J. Miller,Ducati Lenovo Team,47:25.4730
2,20,5J. Zarco,Prima Pramac Racing,3.970
3,16,20F. Quartararo,Monster Energy Yamaha MotoGP™,14.468
1,25,43J. Miller,Ducati Lenovo Team,41:05.6020
2,20,63F. Bagnaia,Ducati Lenovo Team,1.912
3,16,21F. Morbidelli,Monster Energy Yamaha MotoGP™,2.516
1,25,20F. Quartararo,Monster Energy Yamaha MotoGP™,41:46.4120
2,20,63F. Bagnaia,Ducati Lenovo Team,4.809
3,16,36J. Mir,Team SUZUKI ECSTAR,4.948
1,25,20F. Quartararo,Monster Energy Yamaha MotoGP™,42:23.9970
2,20,5J. Zarco,Prima Pramac Racing,1.457
3,16,89J. Martin,Prima Pramac Racing,1.500
1,25,12M. Viñales,Aprilia Racing Team Gresini,42:28.6630
2,20,5J. Zarco,Prima Pramac Racing,1.092
3,16,63F. Bagnaia,Ducati Lenovo Team,1.129
1,25,88M. Oliveira,Tech3 KTM Factory Racing,41:48.1630
2,20,43J. Miller,Prima Pramac Racing,3.193
3,16,21F. Morbidelli,Petronas Yamaha SRT,3.298
1,25,21F. Morbidelli,Petronas Yamaha SRT,41:22.4780
2,20,43J. Miller,Prima Pramac Racing,+0.093
3,16,44P. Espargaro,Red Bull KTM Factory Racing,3.006
1,25,36J. Mir,Team SUZUKI ECSTAR,41:37.2970
2,20,42A. Rins,Team SUZUKI ECSTAR,+0.651
3,16,44P. Espargaro,Red Bull KTM Factory Racing,1.203
1,25,21F. Morbidelli,Petronas Yamaha SRT,41:47.6520
2,20,42A. Rins,Team SUZUKI ECSTAR,2.205
3,16,36J. Mir,Team SUZUKI ECSTAR,5.376
1,25,42A. Rins,Team SUZUKI ECSTAR,41:54.3910
2,20,73A. Marquez,Repsol Honda Team,+0.263
3,16,36J. Mir,Team SUZUKI ECSTAR,2.644
1,25,9D. Petrucci,Ducati Lenovo Team,45:54.7360
2,20,73A. Marquez,Repsol Honda Team,1.273
3,16,44P. Espargaro,Red Bull KTM Factory Racing,1.711
1,25,20F. Quartararo,Petronas Yamaha SRT,40:33.1760
2,20,36J. Mir,Team SUZUKI ECSTAR,+0.928
3,16,42A. Rins,Team SUZUKI ECSTAR,1.898
1,25,12M. Viñales,Monster Energy Yamaha MotoGP™,41:55.8460
2,20,36J. Mir,Team SUZUKI ECSTAR,2.425
3,16,44P. Espargaro,Red Bull KTM Factory Racing,4.528
1,25,21F. Morbidelli,Petronas Yamaha SRT,42:02.2720
2,20,63F. Bagnaia,Prima Pramac Racing,2.217
3,16,36J. Mir,Team SUZUKI ECSTAR,2.290
1,25,36J. Mir,Team SUZUKI ECSTAR,22:35.3150
2,20,30T. Nakagami,LCR Honda,2.415
3,16,43J. Miller,Prima Pramac Racing,2.634
1,25,4A. Dovizioso,Ducati Lenovo Team,28:20.8530
2,20,36J. Mir,Team SUZUKI ECSTAR,1.377
3,16,43J. Miller,Prima Pramac Racing,1.549
1,25,33B. Binder,Red Bull KTM Factory Racing,41:38.7640
2,20,21F. Morbidelli,Petronas Yamaha SRT,5.266
3,16,5J. Zarco,Sky VR46 Avintia,6.470
1,25,20F. Quartararo,Petronas Yamaha SRT,41:22.6660
2,20,12M. Viñales,Monster Energy Yamaha MotoGP™,4.495
3,16,46V. Rossi,Monster Energy Yamaha MotoGP™,5.546
1,25,20F. Quartararo,Petronas Yamaha SRT,41:23.7960
2,20,12M. Viñales,Monster Energy Yamaha MotoGP™,4.603
3,16,4A. Dovizioso,Ducati Lenovo Team,5.946
1,25,45T. Nagashima,Red Bull KTM Ajo,40:00.1920
2,20,7L. Baldassarri,FLEXBOX HP 40,1.347
3,16,33E. Bastianini,Italtrans Racing Team,1.428
